Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,10:14:33.555,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,10:14:34.034,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,10:14:34.476,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,10:14:35.170,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,10:14:35.680,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,10:14:36.144,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,10:14:36.817,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,10:14:37.505,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,10:14:37.870,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
10,10:14:38.470,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,10:14:39.099,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,10:14:39.930,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,10:14:40.403,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,10:14:40.921,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,10:14:41.508,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,10:14:41.947,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,10:14:42.542,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,10:14:42.959,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,10:14:43.603,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,10:14:44.028,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,10:14:44.800,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,10:14:45.320,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,10:14:45.880,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
24,10:14:46.233,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
25,10:14:46.776,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
26,10:14:47.247,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
27,10:14:48.006,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,10:14:48.522,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,10:14:48.936,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
30,10:14:49.527,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
31,10:14:50.270,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
32,10:14:50.901,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
33,10:14:52.013,target,BB Gun,0.648000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
34,10:14:52.549,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
35,10:14:53.216,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
36,10:14:53.801,target,BB Gun,0.241000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
37,10:14:54.459,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
38,10:14:55.102,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
39,10:14:55.498,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
40,10:14:55.961,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
41,10:14:56.453,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
42,10:14:56.849,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
43,10:14:57.555,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
44,10:14:58.246,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
45,10:14:58.706,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
46,10:14:59.327,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
47,10:14:59.957,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
48,10:15:00.317,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
49,10:15:00.777,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
50,10:15:01.283,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
