Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
51,17:52:16.462,Popcorn 4 Bot,BB Gun,0.264000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
52,17:52:17.589,Popcorn 1 Bot,BB Gun,0.552000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
53,17:52:18.305,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
54,17:52:19.027,Popcorn 3 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
55,17:52:19.568,Popcorn 4 Bot,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
56,17:52:20.181,Popcorn 4 Bot,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
57,17:52:20.982,Popcorn 3 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
58,17:52:22.365,Popcorn 3 Bot,BB Gun,0.733000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
59,17:52:22.927,Popcorn 3 Bot,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
60,17:52:23.479,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
61,17:52:24.126,Popcorn 3 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
62,17:52:24.738,Popcorn 3 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
63,17:52:25.826,Popcorn 1 Bot,BB Gun,0.679000s,3,1,0.333333,1.000000,3.000000,0.333333,0,0
64,17:52:26.404,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
65,17:52:27.028,Popcorn 2 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
66,17:52:28.249,Popcorn 2 Bot,BB Gun,0.522000s,3,1,0.333333,1.000000,3.000000,0.333333,0,0
67,17:52:29.072,Popcorn 4 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
68,17:52:30.410,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
69,17:52:30.947,Popcorn 1 Bot,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
70,17:52:32.373,Popcorn 4 Bot,BB Gun,0.878000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
BB Gun,93,70,70.0,93.0,

Kills:,70
Deaths:,0
Fight Time:,13.794
Time Remaining:,0.0
Avg TTK:,0.856849
Damage Done:,70.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,70
Miss Count:,23
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,700.0
Scenario:,VT Popcorn Novice S5
Hash:,045398ef32a43c9c003be756b7901529
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,17:51:32.566
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,232.913071
Resolution Scale:,100.0
