Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:53:34.217,Dot Bot,Track Master 100,0.299000s,24,20,0.833333,1.000000,1.200000,0.833333,0,0
2,14:53:34.953,Dot Bot,Track Master 100,0.723000s,45,20,0.444444,1.000000,2.249999,0.444445,0,0
3,14:53:35.415,Dot Bot,Track Master 100,0.450000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
4,14:53:36.046,Dot Bot,Track Master 100,0.618000s,37,20,0.540541,1.000000,1.849999,0.540541,0,0
5,14:53:36.690,Dot Bot,Track Master 100,0.629000s,39,20,0.512821,1.000000,1.949999,0.512821,0,0
6,14:53:37.257,Dot Bot,Track Master 100,0.554000s,34,20,0.588235,1.000000,1.699999,0.588235,0,0
7,14:53:37.826,Dot Bot,Track Master 100,0.557000s,34,20,0.588235,1.000000,1.699999,0.588235,0,0
8,14:53:38.261,Dot Bot,Track Master 100,0.420000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
9,14:53:38.764,Dot Bot,Track Master 100,0.490000s,29,20,0.689655,1.000000,1.450000,0.689655,0,0
10,14:53:39.292,Dot Bot,Track Master 100,0.513000s,31,20,0.645161,1.000000,1.550000,0.645161,0,0
11,14:53:39.694,Dot Bot,Track Master 100,0.388000s,23,20,0.869565,1.000000,1.150000,0.869565,0,0
12,14:53:40.179,Dot Bot,Track Master 100,0.474000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
13,14:53:40.617,Dot Bot,Track Master 100,0.426000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
14,14:53:41.092,Dot Bot,Track Master 100,0.463000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
15,14:53:41.517,Dot Bot,Track Master 100,0.410000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
16,14:53:42.065,Dot Bot,Track Master 100,0.535000s,33,20,0.606061,1.000000,1.649999,0.606061,0,0
17,14:53:42.667,Dot Bot,Track Master 100,0.587000s,38,20,0.526316,1.000000,1.899999,0.526316,0,0
18,14:53:43.236,Dot Bot,Track Master 100,0.557000s,36,20,0.555556,1.000000,1.799999,0.555556,0,0
19,14:53:43.833,Dot Bot,Track Master 100,0.586000s,37,20,0.540541,1.000000,1.849999,0.540541,0,0
20,14:53:44.310,Dot Bot,Track Master 100,0.463000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
21,14:53:45.010,Dot Bot,Track Master 100,0.689000s,47,20,0.425532,1.000000,2.349999,0.425532,0,0
22,14:53:45.400,Dot Bot,Track Master 100,0.376000s,23,20,0.869565,1.000000,1.150000,0.869565,0,0
23,14:53:46.464,Dot Bot,Track Master 100,1.050000s,66,38,0.575758,1.899999,3.299998,0.575758,0,0
24,14:53:46.714,Dot Bot,Track Master 100,0.236000s,11,2,0.181818,0.100000,0.550000,0.181818,0,0
25,14:53:47.331,Dot Bot,Track Master 100,0.604000s,39,20,0.512821,1.000000,1.949999,0.512821,0,0
26,14:53:47.973,Dot Bot,Track Master 100,0.629000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
27,14:53:48.492,Dot Bot,Track Master 100,0.504000s,33,20,0.606061,1.000000,1.649999,0.606061,0,0
28,14:53:49.193,Dot Bot,Track Master 100,0.689000s,46,20,0.434783,1.000000,2.299999,0.434783,0,0
29,14:53:49.826,Dot Bot,Track Master 100,0.619000s,41,20,0.487805,1.000000,2.049999,0.487805,0,0
30,14:53:50.291,Dot Bot,Track Master 100,0.451000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
31,14:53:50.985,Dot Bot,Track Master 100,0.682000s,47,20,0.425532,1.000000,2.349999,0.425532,0,0
32,14:53:51.708,Dot Bot,Track Master 100,0.711000s,44,20,0.454545,1.000000,2.199999,0.454546,0,0
