Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:50:57.247,Dot Bot,Track Master 100,0.242000s,20,20,1.000000,1.000000,1.000000,1.000000,0,0
2,14:50:57.933,Dot Bot,Track Master 100,0.673000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
3,14:50:58.413,Dot Bot,Track Master 100,0.469000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
4,14:50:58.964,Dot Bot,Track Master 100,0.536000s,32,20,0.625000,1.000000,1.600000,0.625000,0,0
5,14:50:59.669,Dot Bot,Track Master 100,0.692000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
6,14:51:00.160,Dot Bot,Track Master 100,0.481000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
7,14:51:00.820,Dot Bot,Track Master 100,0.645000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
8,14:51:01.428,Dot Bot,Track Master 100,0.595000s,36,20,0.555556,1.000000,1.799999,0.555556,0,0
9,14:51:02.162,Dot Bot,Track Master 100,0.722000s,46,20,0.434783,1.000000,2.299999,0.434783,0,0
10,14:51:02.646,Dot Bot,Track Master 100,0.468000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
11,14:51:03.389,Dot Bot,Track Master 100,0.730000s,47,20,0.425532,1.000000,2.349999,0.425532,0,0
12,14:51:04.015,Dot Bot,Track Master 100,0.615000s,36,20,0.555556,1.000000,1.799999,0.555556,0,0
13,14:51:04.475,Dot Bot,Track Master 100,0.445000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
14,14:51:05.137,Dot Bot,Track Master 100,0.646000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
15,14:51:05.548,Dot Bot,Track Master 100,0.400000s,24,20,0.833333,1.000000,1.200000,0.833333,0,0
16,14:51:06.203,Dot Bot,Track Master 100,0.642000s,41,20,0.487805,1.000000,2.049999,0.487805,0,0
17,14:51:06.708,Dot Bot,Track Master 100,0.493000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
18,14:51:07.150,Dot Bot,Track Master 100,0.429000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
19,14:51:07.640,Dot Bot,Track Master 100,0.473000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
20,14:51:08.229,Dot Bot,Track Master 100,0.577000s,39,20,0.512821,1.000000,1.949999,0.512821,0,0
21,14:51:08.741,Dot Bot,Track Master 100,0.498000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
22,14:51:09.279,Dot Bot,Track Master 100,0.523000s,31,20,0.645161,1.000000,1.550000,0.645161,0,0
23,14:51:09.880,Dot Bot,Track Master 100,0.588000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
24,14:51:10.511,Dot Bot,Track Master 100,0.615000s,39,20,0.512821,1.000000,1.949999,0.512821,0,0
25,14:51:11.100,Dot Bot,Track Master 100,0.578000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
26,14:51:11.561,Dot Bot,Track Master 100,0.446000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
27,14:51:12.197,Dot Bot,Track Master 100,0.620000s,39,20,0.512821,1.000000,1.949999,0.512821,0,0
28,14:51:12.714,Dot Bot,Track Master 100,0.506000s,31,20,0.645161,1.000000,1.550000,0.645161,0,0
29,14:51:13.367,Dot Bot,Track Master 100,0.638000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
30,14:51:13.854,Dot Bot,Track Master 100,0.473000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
31,14:51:14.304,Dot Bot,Track Master 100,0.439000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
32,14:51:14.811,Dot Bot,Track Master 100,0.492000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
33,14:51:15.456,Dot Bot,Track Master 100,0.633000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
34,14:51:16.041,Dot Bot,Track Master 100,0.573000s,34,20,0.588235,1.000000,1.699999,0.588235,0,0
35,14:51:16.645,Dot Bot,Track Master 100,0.589000s,36,20,0.555556,1.000000,1.799999,0.555556,0,0
36,14:51:17.254,Dot Bot,Track Master 100,0.596000s,34,20,0.588235,1.000000,1.699999,0.588235,0,0
37,14:51:17.675,Dot Bot,Track Master 100,0.409000s,23,20,0.869565,1.000000,1.150000,0.869565,0,0
38,14:51:18.240,Dot Bot,Track Master 100,0.551000s,34,20,0.588235,1.000000,1.699999,0.588235,0,0
39,14:51:18.702,Dot Bot,Track Master 100,0.446000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
40,14:51:19.570,Dot Bot,Track Master 100,0.855000s,57,20,0.350877,1.000000,2.849998,0.350877,0,0
41,14:51:20.045,Dot Bot,Track Master 100,0.464000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
42,14:51:20.660,Dot Bot,Track Master 100,0.604000s,37,20,0.540541,1.000000,1.849999,0.540541,0,0
43,14:51:21.274,Dot Bot,Track Master 100,0.601000s,34,20,0.588235,1.000000,1.699999,0.588235,0,0
44,14:51:21.742,Dot Bot,Track Master 100,0.457000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
45,14:51:22.255,Dot Bot,Track Master 100,0.498000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
46,14:51:22.758,Dot Bot,Track Master 100,0.491000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
47,14:51:23.415,Dot Bot,Track Master 100,0.646000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
48,14:51:24.170,Dot Bot,Track Master 100,0.738000s,47,20,0.425532,1.000000,2.349999,0.425532,0,0
49,14:51:24.620,Dot Bot,Track Master 100,0.439000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
50,14:51:25.086,Dot Bot,Track Master 100,0.450000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
51,14:51:25.664,Dot Bot,Track Master 100,0.565000s,36,20,0.555556,1.000000,1.799999,0.555556,0,0
52,14:51:26.126,Dot Bot,Track Master 100,0.447000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
53,14:51:26.671,Dot Bot,Track Master 100,0.533000s,32,20,0.625000,1.000000,1.600000,0.625000,0,0
54,14:51:27.167,Dot Bot,Track Master 100,0.481000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
55,14:51:27.632,Dot Bot,Track Master 100,0.455000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
56,14:51:28.102,Dot Bot,Track Master 100,0.455000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
57,14:51:28.726,Dot Bot,Track Master 100,0.612000s,37,20,0.540541,1.000000,1.849999,0.540541,0,0
58,14:51:29.218,Dot Bot,Track Master 100,0.480000s,30,20,0.666667,1.000000,1.500000,0.666667,0,0
59,14:51:29.790,Dot Bot,Track Master 100,0.558000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
60,14:51:30.236,Dot Bot,Track Master 100,0.431000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
61,14:51:30.714,Dot Bot,Track Master 100,0.467000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
62,14:51:31.215,Dot Bot,Track Master 100,0.490000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
63,14:51:31.696,Dot Bot,Track Master 100,0.465000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
64,14:51:32.296,Dot Bot,Track Master 100,0.588000s,36,20,0.555556,1.000000,1.799999,0.555556,0,0
65,14:51:32.715,Dot Bot,Track Master 100,0.407000s,24,20,0.833333,1.000000,1.200000,0.833333,0,0
66,14:51:33.357,Dot Bot,Track Master 100,0.628000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
67,14:51:33.867,Dot Bot,Track Master 100,0.496000s,29,20,0.689655,1.000000,1.450000,0.689655,0,0
68,14:51:34.512,Dot Bot,Track Master 100,0.629000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
69,14:51:35.086,Dot Bot,Track Master 100,0.563000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
70,14:51:35.481,Dot Bot,Track Master 100,0.381000s,24,20,0.833333,1.000000,1.200000,0.833333,0,0
71,14:51:35.985,Dot Bot,Track Master 100,0.492000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
72,14:51:36.442,Dot Bot,Track Master 100,0.445000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
73,14:51:37.042,Dot Bot,Track Master 100,0.590000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
74,14:51:37.528,Dot Bot,Track Master 100,0.471000s,29,20,0.689655,1.000000,1.450000,0.689655,0,0
75,14:51:37.956,Dot Bot,Track Master 100,0.417000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
76,14:51:38.666,Dot Bot,Track Master 100,0.700000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
77,14:51:39.241,Dot Bot,Track Master 100,0.563000s,38,20,0.526316,1.000000,1.899999,0.526316,0,0
78,14:51:39.743,Dot Bot,Track Master 100,0.491000s,29,20,0.689655,1.000000,1.450000,0.689655,0,0
79,14:51:40.340,Dot Bot,Track Master 100,0.585000s,36,20,0.555556,1.000000,1.799999,0.555556,0,0
80,14:51:40.784,Dot Bot,Track Master 100,0.433000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
81,14:51:41.217,Dot Bot,Track Master 100,0.422000s,23,20,0.869565,1.000000,1.150000,0.869565,0,0
82,14:51:41.662,Dot Bot,Track Master 100,0.432000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
83,14:51:42.153,Dot Bot,Track Master 100,0.480000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
84,14:51:42.828,Dot Bot,Track Master 100,0.660000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
85,14:51:43.269,Dot Bot,Track Master 100,0.429000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
86,14:51:43.862,Dot Bot,Track Master 100,0.581000s,37,20,0.540541,1.000000,1.849999,0.540541,0,0
87,14:51:44.270,Dot Bot,Track Master 100,0.397000s,23,20,0.869565,1.000000,1.150000,0.869565,0,0
88,14:51:44.738,Dot Bot,Track Master 100,0.456000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
89,14:51:45.358,Dot Bot,Track Master 100,0.607000s,36,20,0.555556,1.000000,1.799999,0.555556,0,0
90,14:51:45.862,Dot Bot,Track Master 100,0.491000s,31,20,0.645161,1.000000,1.550000,0.645161,0,0
91,14:51:46.329,Dot Bot,Track Master 100,0.454000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
92,14:51:46.887,Dot Bot,Track Master 100,0.542000s,32,20,0.625000,1.000000,1.600000,0.625000,0,0
93,14:51:47.521,Dot Bot,Track Master 100,0.620000s,39,20,0.512821,1.000000,1.949999,0.512821,0,0
94,14:51:48.187,Dot Bot,Track Master 100,0.650000s,42,20,0.476190,1.000000,2.099999,0.476191,0,0
95,14:51:48.612,Dot Bot,Track Master 100,0.412000s,24,20,0.833333,1.000000,1.200000,0.833333,0,0
96,14:51:49.041,Dot Bot,Track Master 100,0.414000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
97,14:51:49.605,Dot Bot,Track Master 100,0.552000s,33,20,0.606061,1.000000,1.649999,0.606061,0,0
98,14:51:50.054,Dot Bot,Track Master 100,0.437000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
99,14:51:50.640,Dot Bot,Track Master 100,0.571000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
100,14:51:51.124,Dot Bot,Track Master 100,0.470000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
101,14:51:51.733,Dot Bot,Track Master 100,0.598000s,37,20,0.540541,1.000000,1.849999,0.540541,0,0
102,14:51:52.169,Dot Bot,Track Master 100,0.422000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
103,14:51:52.643,Dot Bot,Track Master 100,0.458000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
104,14:51:53.083,Dot Bot,Track Master 100,0.429000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
105,14:51:53.527,Dot Bot,Track Master 100,0.430000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
106,14:51:53.982,Dot Bot,Track Master 100,0.443000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
107,14:51:54.452,Dot Bot,Track Master 100,0.458000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
108,14:51:55.111,Dot Bot,Track Master 100,0.648000s,40,20,0.500000,1.000000,1.999999,0.500000,0,0
109,14:51:55.557,Dot Bot,Track Master 100,0.434000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
110,14:51:56.042,Dot Bot,Track Master 100,0.472000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,3510,2209,110.452141,175.506104,

Kills:,110
Deaths:,0
Fight Time:,57.616001
Time Remaining:,0.0
Avg TTK:,0.545226
Damage Done:,110.452141
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,2209
Miss Count:,1301
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1104.5
Scenario:,VT DotTS Intermediate S5
Hash:,dfb397975f6fcec5bd2ebf3cd0b7a66a
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,14:50:56.437
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,264.994202
Resolution Scale:,100.0
